YEAR,MONTH,LINE,MDBF
2021,June,Hudson-Bergen Light Rail,4764
2021,June,River Line,20830
2021,July,Newark Light Rail,4850
2021,July,Hudson-Bergen Light Rail,5993
2021,July,River Line,20986
2021,August,Newark Light Rail,4912
2021,August,Hudson-Bergen Light Rail,6944
2021,August,River Line,21617
2021,September,Hudson-Bergen Light Rail,5082
2021,September,Newark Light Rail,4816
2021,September,River Line,22452
2021,October,Hudson-Bergen Light Rail,5684
2021,October,Newark Light Rail,4828
2021,October,River Line,21165
2021,November,Newark Light Rail,4812
2021,November,Hudson-Bergen Light Rail,5511
2021,November,River Line,21129
2021,December,Newark Light Rail,4789
2021,December,Hudson-Bergen Light Rail,7010
2021,December,River Line,19896
2022,January,Hudson-Bergen Light Rail,7583
2022,January,Newark Light Rail,4612
2022,January,River Line,19407
2022,February,Newark Light Rail,4453
2022,February,Hudson-Bergen Light Rail,8042
2022,February,River Line,20921
2022,March,Newark Light Rail,4390
2022,March,Hudson-Bergen Light Rail,10465
2022,March,River Line,21588
2022,April,Newark Light Rail,4619
2022,April,Hudson-Bergen Light Rail,8241
2022,April,River Line,32260
2022,May,Newark Light Rail,4566
2022,May,Hudson-Bergen Light Rail,8012
2022,May,River Line,22402
2022,June,Hudson-Bergen Light Rail,8568
2022,June,Newark Light Rail,4381
2022,June,River Line,22253
2022,July,Hudson-Bergen Light Rail,5499
2022,July,Newark Light Rail,4460
2022,July,River Line,21846
2022,August,Newark Light Rail,4442
2022,August,Hudson-Bergen Light Rail,23754
2022,August,River Line,22187
2022,September,Hudson-Bergen Light Rail,20318
2022,September,Newark Light Rail,4279
2022,September,River Line,22021
2022,October,Newark Light Rail,4413
2022,October,Hudson-Bergen Light Rail,15336
2022,October,River Line,21863
2022,November,Newark Light Rail,4218
2022,November,Hudson-Bergen Light Rail,10460
2022,November,River Line,21328
2022,December,Newark Light Rail,4260
2022,December,Hudson-Bergen Light Rail,8968
2022,December,River Line,19971
2023,January,Hudson-Bergen Light Rail,9904
2023,January,Newark Light Rail,5972
2023,January,River Line,17388
2023,February,Newark Light Rail,6156
2023,February,Hudson-Bergen Light Rail,10467
2023,February,River Line,15094
2023,March,Newark Light Rail,5974
2023,March,Hudson-Bergen Light Rail,10989
2023,March,River Line,12877
2023,April,Newark Light Rail,5772
2023,April,Hudson-Bergen Light Rail,11814
2023,April,River Line,11154
2023,May,Newark Light Rail,5635
2023,May,Hudson-Bergen Light Rail,13065
2023,May,River Line,10327
2023,June,Hudson-Bergen Light Rail,14051
2023,June,Newark Light Rail,5630
2023,June,River Line,9692
2023,July,Hudson-Bergen Light Rail,16321
2023,July,Newark Light Rail,5583
2023,July,River Line,9214
2023,August,Newark Light Rail,5428
2023,August,Hudson-Bergen Light Rail,15567
2023,August,River Line,7856
2023,September,Hudson-Bergen Light Rail,12892
2023,September,Newark Light Rail,5441
2023,September,River Line,7101
2023,October,Newark Light Rail,5170
2023,October,Hudson-Bergen Light Rail,14778
2023,October,River Line,6817
2023,November,Newark Light Rail,5147
2023,November,Hudson-Bergen Light Rail,14854
2023,November,River Line,6485
2023,December,Newark Light Rail,5102
2023,December,Hudson-Bergen Light Rail,15508
2023,December,River Line,6381
2024,January,River Line,5822
2024,January,Hudson-Bergen Light Rail,15990
2024,January,Newark Light Rail,3417
2024,February,River Line,4670
2024,February,Hudson-Bergen Light Rail,13004
2024,February,Newark Light Rail,3230
2024,March,Newark Light Rail,3274
2024,March,River Line,4679
2024,March,Hudson-Bergen Light Rail,13188
2024,April,River Line,4164
2024,April,Hudson-Bergen Light Rail,13405
2024,April,Newark Light Rail,3608
2024,May,Newark Light Rail,3591
2024,May,River Line,3934
2024,May,Hudson-Bergen Light Rail,13590
2024,June,River Line,3720
2024,June,Newark Light Rail,3633
2024,June,Hudson-Bergen Light Rail,13737
2024,July,Hudson-Bergen Light Rail,14005
2024,July,Newark Light Rail,3792
2024,July,River Line,3921
2024,August,River Line,4063
2024,August,Hudson-Bergen Light Rail,13494
2024,August,Newark Light Rail,3773
