Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
12c036r,00000295__B107410,0.25,40.288998,-74.814064,11,1106,Mercer,Hopewell Twp,0,0,3063,01/01/2012,ramp,South
12c038r,00000295__B207260,0.14,40.2905722,-74.7867944,11,1106,Mercer,Hopewell Twp,0,0,5456,01/01/2012,ramp,South
12c025r,00000295__A107380,0.01,40.28949,-74.812454,11,1106,Mercer,Hopewell Twp,0,0,1544,01/01/2012,ramp,South
11c142r,00000001__A102700,0.01,40.48167317,-74.41914903,12,1214,Middlesex,New Brunswick City,0,0,13050,01/01/2012,ramp,South
1-4-415,00000523__,23.26,40.6602056,-74.750375,10,1024,Hunterdon,Tewksbury Twp,10478,5321,5157,01/01/2012,Classification 48hrs,North/South
12c066r,00000287__,10.4,40.540997,-74.51572,18,1808,Somerset,Franklin Twp,0,0,6478,01/01/2012,ramp,South
1-4-101,00000078__,25.74,40.649325,-74.741268,10,1022,Hunterdon,Readington Twp,111007,54768,56239,01/01/2012,Volume 48hrs,East/West
1-4-413,00000510__,2.35,40.77350029,-74.64569957,14,1407,Morris,Chester Twp,11215,5533,5682,01/01/2012,Classification 48hrs,East/West
1-4-414,00000523__,14.4,40.5507889,-74.8225917,10,1022,Hunterdon,Readington Twp,9872,4860,5012,01/01/2012,Volume 48hrs,North/South
12n895r,00000046__B106390,,40.89357535,-74.13132467,16,1602,Passaic,Clifton City,0,11485,0,01/01/2012,ramp,East
11s172r,00000073__Y103190,31.89,39.97992694,-75.01489043,4,427,Camden,Pennsauken Twp,0,0,969,01/01/2012,ramp,South
091203,00000501__,5.84,40.530779,-74.323555,12,1205,Middlesex,Edison Twp,16475,8774,7701,01/01/2012,Volume 48hrs,North/South
091904,00000023__,32.54,41.11317606,-74.58067179,19,1906,Sussex,Franklin Boro,23203,11427,11776,01/01/2012,Volume 48hrs,North/South
092102,00000057__,16.94,40.79328856,-74.87708599,21,2116,Warren,Mansfield Twp,10338,5219,5119,01/01/2012,Classification 48hrs,East/West
112058,20000642__,2.99,40.6836,-74.36845,20,2010,Union,Mountainside Boro,2013,948,1065,01/01/2012,Volume 48hrs,North/South
112060,20000644__,0.1,40.70208,-74.31802,20,2017,Union,Springfield Twp,4459,2223,2236,01/01/2012,Volume 48hrs,North/South
1-4-310,00000057__,0.89,40.70090862,-75.14906129,21,2115,Warren,Lopatcong Twp,13053,7022,6031,01/01/2012,Classification 48hrs,East/West
2-4-609,02151187__,0.1,40.89418512,-73.95859887,2,215,Bergen,Englewood City,564,370,194,01/01/2012,Volume 48hrs,North/South
120202,00000503__,10.92,40.95740364,-74.03096387,2,244,Bergen,Oradell Boro,18674,9387,9287,01/01/2012,major,North/South
12ms7c,00000552__,21.77,39.437675,-74.86009,1,105,Atlantic,Buena Vista Twp,6945,3480,3465,01/01/2012,major,East/West
120202,00000503__,10.92,40.95740364,-74.03096387,2,244,Bergen,Oradell Boro,18660,9334,9326,01/01/2012,major,East/West
120202,00000503__,10.92,40.95740364,-74.03096387,2,244,Bergen,Oradell Boro,18110,9012,9098,01/01/2012,major,North/South
120202,00000503__,10.92,40.95740364,-74.03096387,2,244,Bergen,Oradell Boro,16400,8021,8379,01/01/2012,major,North/South
091916,00000517__,49.65,41.211193,-74.512604,19,1922,Sussex,Vernon Twp,5522,2298,3224,01/01/2012,Classification 48hrs,North/South
9-1-001,00000518__,0.44,40.3651333,-74.9339528,10,1017,Hunterdon,Lambertville City,4471,2202,2269,01/01/2012,Classification 48hrs,East/West
9-1-002,10000611__,0.49,40.4976111,-74.8615,10,1021,Hunterdon,Raritan Twp,5978,2785,3193,01/01/2012,Classification 48hrs,North/South
PD12609,00000037__,8.16,39.959126,-74.17361,15,1507,Ocean,Toms River Twp,41071,20689,20382,01/01/2012,Classification 48hrs,East/West
091204,00000520__,0.97,40.3555472,-74.33735,12,1209,Middlesex,Old Bridge Twp,16156,7965,8191,01/01/2012,Volume 48hrs,East/West
1-4-646,14321171__,0.28,40.83106447,-74.54276085,14,1432,Morris,Randolph Twp,241,127,114,01/01/2012,Volume 48hrs,North/South
12n038r,00000280__B101010,10.1,40.77326,-74.24099,7,722,Essex,West Orange Twp,0,11609,0,01/01/2012,ramp,East
122199,21201075__,0.19,40.6781835,-75.16338851,21,2120,Warren,Pohatcong Twp,4246,2024,2222,01/01/2012,Classification 48hrs,East/West
091803,00000525__,9.03,40.685197,-74.575381,18,1802,Somerset,Bernards Twp,16388,8204,8184,01/01/2012,Volume 48hrs,North/South
091805,00000512__,18.79,40.6601472,-74.571225,18,1802,Somerset,Bernards Twp,11668,5798,5870,01/01/2012,Volume 48hrs,East/West
091609,00000509__,24.99,40.91664653,-74.17319381,16,1608,Passaic,Paterson City,11117,5257,5860,01/01/2012,Volume 48hrs,North/South
091601,00000046__,57.31,40.89381223,-74.22971025,16,1612,Passaic,Totowa Boro,120887,62587,58300,01/01/2012,Volume 48hrs,East/West
12n094r,00000287__A103670,36.7,40.799675,-74.46585,14,1424,Morris,Morristown Town,0,5051,0,01/01/2012,ramp,North
110394,03000669__,1.03,39.980346,-74.601866,3,329,Burlington,Pemberton Twp,6665,3534,3131,01/01/2012,Volume 48hrs,East/West
12n102r,00000287__A104720,47.2,40.916378,-74.3687,14,1421,Morris,Montville Twp,0,5166,0,01/01/2012,ramp,North
122192,21000655__,2.76,40.93308818,-75.01108406,21,2104,Warren,Blairstown Twp,2202,1107,1095,01/01/2012,Classification 48hrs,North/South
12n112r,00000287__B103680,36.8,40.79943,-74.46551,14,1424,Morris,Morristown Town,0,1773,0,01/01/2012,ramp,North
12c183r,00000018__Y101370,13.7,40.28462,-74.07596,13,1311,Monmouth,Eatontown Boro,,,8138,01/01/2012,ramp,South
110395,03000669__,0.1,39.97269602,-74.58750605,3,329,Burlington,Pemberton Twp,7777,4005,3772,01/01/2012,Volume 48hrs,East/West
12n797r,00000003__X100060,0.56,40.865013,-74.1814,16,1602,Passaic,Clifton City,0,5909,0,01/01/2012,ramp,West
091207,00000018__,42.11,40.4941,-74.4389361,12,1214,Middlesex,New Brunswick City,102732,51769,50963,01/01/2012,Volume 48hrs,North/South
12n911r,00000046__B106020,,40.86960813,-74.18858335,16,1602,Passaic,Clifton City,0,5197,0,01/01/2012,ramp,East
12s069r,00000038__B100170,0.2,39.93548508,-75.05288902,4,409,Camden,Cherry Hill Twp,0,4050,0,01/01/2012,ramp,East
12s104r,00000040__X102570,25.66,39.58015059,-75.0705122,8,805,Gloucester,Franklin Twp,0,3669,0,01/01/2012,ramp,North
12s107r,00000040__B106260,62.62,39.36828885,-74.47432658,1,102,Atlantic,Atlantic City,0,629,0,01/01/2012,ramp,East
12s128r,00000047__B106910,69.27,39.79347193,-75.11326464,8,802,Gloucester,Deptford Twp,0,2089,0,01/01/2012,ramp,North
12s173r,00000295__B101490,0.16,39.80546123,-75.30239959,8,809,Gloucester,Logan Twp,0,808,0,01/01/2012,ramp,North
11c150r,00000001__A103630,0.01,40.57050401,-74.29340703,12,1225,Middlesex,Woodbridge Twp,0,0,4367,01/01/2012,ramp,South
090114,00000087__,1.04,39.38323662,-74.42548331,1,102,Atlantic,Atlantic City,19887,10037,9850,01/01/2012,Volume 48hrs,North/South
091503,00000035__,1.17,39.92189101,-74.07837103,15,1527,Ocean,Seaside Park Boro,5166,2679,2487,01/01/2012,Volume 48hrs,North/South
090305,00000073__,30.58,39.96498823,-74.99979478,3,319,Burlington,Maple Shade Twp,58867,29596,29271,01/01/2012,Classification 48hrs,North/South
11c235r,00000009__A112430,124.3,40.40262,-74.30481,12,1209,Middlesex,Old Bridge Twp,0,0,1592,01/01/2012,ramp,West
080602,00000049__,38.24,39.39054624,-75.00374154,6,610,Cumberland,Millville City,7749,3843,3906,01/01/2012,Classification 48hrs,East/West
11s208r,00000130__B203480,34.65,39.97538286,-75.03048927,4,427,Camden,Pennsauken Twp,0,0,2469,01/01/2012,ramp,South
11c221r,00000001__Y102850,28.5,40.50054,-74.40638,12,1205,Middlesex,Edison Twp,0,0,8042,01/01/2012,ramp,South
090309,00000070__,26.99,39.90200802,-74.58603704,3,339,Burlington,Woodland Twp,12746,6750,5996,01/01/2012,Classification 48hrs,East/West
1-5-019,00000022__,1.67,40.69794556,-75.17347917,21,2115,Warren,Lopatcong Twp,41790,22044,19746,01/01/2012,Volume 48hrs,East/West
111688,16000678__,0.5,40.9639,-74.2584,16,1614,Passaic,Wayne Twp,10763,5734,5029,01/01/2012,Volume 48hrs,East/West
12c113r,00000287__,9.9,40.54001,-74.506584,12,1217,Middlesex,Piscataway Twp,0,0,1665,01/01/2012,ramp,South
121355,13000029__,0.49,40.316193,-74.0087,13,1338,Monmouth,Oceanport Boro,3019,1390,1629,01/01/2012,Volume 48hrs,East/West
11s148r,00000055__Y105880,58.92,39.82847177,-75.10470682,8,802,Gloucester,Deptford Twp,0,0,6275,01/01/2012,ramp,South
121328,130000112_,0.27,40.3118556,-74.029775,13,1338,Monmouth,Oceanport Boro,4906,2184,2722,01/01/2012,Volume 48hrs,North/South
11c200r,00000001__Y100130,1.3,40.2237,-74.75976,11,1111,Mercer,Trenton City,0,0,3854,01/01/2012,ramp,South
121301,00000195__,32.62,40.16736,-74.13471,13,1352,Monmouth,Wall Twp,47706,23767,23939,01/01/2012,Volume 48hrs,East/West
121205,12000807__,0.94,40.5094611,-74.4536528,12,1217,Middlesex,Piscataway Twp,378,189,189,01/01/2012,Volume 48hrs,North/South
120113,00000009__,51.78,39.53881102,-74.46500404,1,120,Atlantic,Port Republic City,3913,2043,1870,01/01/2012,Volume 48hrs,North/South
121203,12000701__,0.53,40.5218528,-74.43953891,12,1217,Middlesex,Piscataway Twp,6256,3200,3056,01/01/2012,Volume 48hrs,East/West
11c204r,00000001__Y100800,0.1,40.29762913,-74.68065203,11,1113,Mercer,West Windsor Twp,0,0,2896,01/01/2012,ramp,South
121124,11021391__,0.07,40.25165,-74.76412,11,1102,Mercer,Ewing Twp,5270,2594,2676,01/01/2012,Volume 48hrs,North/South
121127,11032003__,0.26,40.2265583,-74.7203472,11,1103,Mercer,Hamilton Twp,5215,2493,2722,01/01/2012,Volume 48hrs,North/South
122101,00000046__,12.9,40.83850742,-74.95292706,21,2114,Warren,Liberty Twp,3297,1939,1358,01/01/2012,major,East/West
121107,00000031__,1.04,40.2386889,-74.7748444,11,1111,Mercer,Trenton City,7833,3709,4124,01/01/2012,Volume 48hrs,North/South
121109,00000033__,13.85,40.26669,-74.528465,11,1104,Mercer,Hightstown Boro,13466,6818,6648,01/01/2012,Volume 48hrs,East/West
090209,02051081__,0.09,40.84179134,-74.10042454,2,205,Bergen,Carlstadt Boro,6225,3678,2547,01/01/2012,Classification 48hrs,North/South
12n882r,00000046__B106680,,40.881624,-74.08288708,2,231,Bergen,Lodi Boro,0,4498,0,01/01/2012,ramp,North
12n957r,00000046__A105700,,40.89460587,-74.23540393,16,1612,Passaic,Totowa Boro,0,8448,0,01/01/2012,ramp,East
12n972r,00000046__B105750,,40.8922552,-74.22733933,16,1612,Passaic,Totowa Boro,0,4492,0,01/01/2012,ramp,East
11c203r,00000001__Y100760,7.6,40.292126,-74.686195,11,1107,Mercer,Lawrence Twp,0,0,1024,01/01/2012,ramp,South
091205,00000522__,3.52,40.38238351,-74.50987982,12,1221,Middlesex,South Brunswick Twp,12516,6527,5989,01/01/2012,Volume 48hrs,East/West
120216,020000401_,1,40.87181,-74.09321,2,231,Bergen,Lodi Boro,10179,5676,4503,01/01/2012,Volume 48hrs,North/South
120803,04000706__,11.37,39.81476605,-75.08672502,4,415,Camden,Gloucester Twp,8224,1771,6453,01/01/2012,Volume 48hrs,East/West
120220,020000412_,0.77,40.96907,-73.973206,2,207,Bergen,Closter Boro,5937,2902,3035,01/01/2012,Volume 48hrs,East/West
120618,00000555__,9.61,39.39428408,-75.04345579,6,610,Cumberland,Millville City,8149,4297,3852,01/01/2012,Classification 48hrs,North/South
090227,00000507__,12.41,40.89663524,-74.12591417,2,211,Bergen,Elmwood Park Boro,19682,9809,9873,01/01/2012,Volume 48hrs,North/South
090228,00000507__,13.54,40.91165223,-74.13236248,2,211,Bergen,Elmwood Park Boro,11887,6707,5180,01/01/2012,Classification 48hrs,North/South
120304,00000206__,36.98,40.16176302,-74.70022909,3,304,Burlington,Bordentown Twp,22294,11111,11183,01/01/2012,Volume 48hrs,North/South
11c354r,00000078__Y102690,26.9,40.64488,-74.71741,18,1801,Somerset,Bedminster Twp,0,0,2277,01/01/2012,ramp,West
120505,00000047__,6.22,39.04045,-74.89832,5,506,Cape May,Middle Twp,8240,4043,4197,01/01/2012,Volume 48hrs,North/South
120292,02000106__,2.05,40.99567,-73.95458,2,241,Bergen,Norwood Boro,8851,4392,4459,01/01/2012,Volume 48hrs,East/West
090306,00000070__,13.5,39.90189202,-74.83123906,3,320,Burlington,Medford Twp,20892,10667,10225,01/01/2012,Volume 48hrs,East/West
120425,04000720__,0.91,39.69528502,-74.90772703,4,436,Camden,Winslow Twp,3178,1601,1577,01/01/2012,Volume 48hrs,North/South
120289,020001021_,0.43,40.979683,-73.96969,2,207,Bergen,Closter Boro,3618,1789,1829,01/01/2012,Volume 48hrs,East/West
120310,00000070__,11.34,39.89590921,-74.87114351,3,313,Burlington,Evesham Twp,35594,11852,23742,01/01/2012,Volume 48hrs,East/West
120315,00000073__,28.71,39.94468196,-74.98047851,3,319,Burlington,Maple Shade Twp,73201,36274,36927,01/01/2012,Volume 48hrs,North/South
120313,00000130__,51.34,40.11029202,-74.77441101,3,315,Burlington,Florence Twp,25245,13210,12035,01/01/2012,Volume 48hrs,North/South
120309,00000070__,7.8,39.89516651,-74.93729156,3,313,Burlington,Evesham Twp,39705,19683,20022,01/01/2012,Volume 48hrs,East/West
8-5-603,01041038__,1.13,39.52966503,-74.93066002,1,104,Atlantic,Buena Boro,961,487,474,01/01/2012,Volume 48hrs,East/West
120311,00000073__,23.38,39.88379102,-74.92193003,3,313,Burlington,Evesham Twp,54452,25479,28973,01/01/2012,Volume 48hrs,North/South
11s199r,00000130__X101340,13.48,39.80400882,-75.32457347,8,809,Gloucester,Logan Twp,0,0,219,01/01/2012,ramp,South
090104,00000030__,37.14,39.5687887,-74.70523041,1,117,Atlantic,Mullica Twp,13395,6797,6598,01/01/2012,Classification 48hrs,East/West
11c338r,00000078__X101890,18.9,40.6428,-74.87064,10,1006,Hunterdon,Clinton Twp,0,0,2470,01/01/2012,ramp,West
11c360r,00000078__Y103730,37.3,40.64877,-74.52173,18,1820,Somerset,Warren Twp,0,0,2400,01/01/2012,ramp,West
120504,00000047__,4.16,39.01721742,-74.88278902,5,506,Cape May,Middle Twp,16907,8599,8308,01/01/2012,Volume 48hrs,North/South
120429,04000727__,6.01,39.87640006,-75.05227726,4,418,Camden,Haddon Heights Boro,3030,1834,1196,01/01/2012,Volume 48hrs,North/South
120428,04000727__,2.03,39.82840499,-75.01158875,4,432,Camden,Stratford Boro,3374,1593,1781,01/01/2012,Volume 48hrs,North/South
8-8-141,00000540__,34.12,39.49171211,-75.02774455,6,614,Cumberland,Vineland City,12453,6436,6017,01/01/2012,Volume 48hrs,East/West
12c111r,00000287__,8.5,40.55238,-74.4868,12,1217,Middlesex,Piscataway Twp,0,0,5400,01/01/2012,ramp,South
120430,04000728__,0.4,39.81065294,-74.99487456,4,411,Camden,Clementon Boro,337,201,136,01/01/2012,Volume 48hrs,North/South
11c353r,00000078__Y102480,24.8,40.65094,-74.75629,10,1024,Hunterdon,Tewksbury Twp,0,0,1998,01/01/2012,ramp,West
120611,00000047__,46.15,39.48122487,-75.04343304,6,614,Cumberland,Vineland City,23075,11287,11788,01/01/2012,Volume 48hrs,North/South
120607,00000049__,37.26,39.39494309,-75.02096207,6,610,Cumberland,Millville City,13370,6940,6430,01/01/2012,Volume 48hrs,East/West
120452,04000675__,0.24,39.79200116,-74.90656723,4,406,Camden,Berlin Twp,5755,2551,3204,01/01/2012,Volume 48hrs,North/South
11s131r,00000055__X104370,43.62,39.63750416,-75.0974954,8,805,Gloucester,Franklin Twp,0,0,1979,01/01/2012,ramp,South
120612,00000047__,47.8,39.50503783,-75.04165472,6,614,Cumberland,Vineland City,16139,8018,8121,01/01/2012,Volume 48hrs,North/South
1-5-111,00000078__,33.9,40.645772,-74.588268,18,1802,Somerset,Bernards Twp,93954,42011,51943,01/01/2012,Classification 48hrs,East/West
120619,00000540__,31.72,39.49547875,-75.06980454,6,614,Cumberland,Vineland City,4420,2194,2226,01/01/2012,Volume 48hrs,East/West
120614,00000055__,33.06,39.493732,-75.070114,6,614,Cumberland,Vineland City,36697,18398,18299,01/01/2012,Volume 48hrs,North/South
120617,06141346__,0.58,39.46703339,-75.03380881,6,614,Cumberland,Vineland City,966,397,569,01/01/2012,Volume 48hrs,East/West
120807,00000045__,20.43,39.76790323,-75.19768172,8,810,Gloucester,Mantua Twp,9743,4857,4886,01/01/2012,Volume 48hrs,North/South
110399,03000670__,10.03,40.032561,-74.677718,3,334,Burlington,Springfield Twp,5271,2741,2530,01/01/2012,Volume 48hrs,East/West
120806,00000045__,16.94,39.72715434,-75.2304522,8,808,Gloucester,Harrison Twp,5420,2792,2628,01/01/2012,Volume 48hrs,North/South
1103a2,03000673__,0.29,39.924008,-74.96093,3,324,Burlington,Mount Laurel Twp,17270,7855,9415,01/01/2012,Volume 48hrs,North/South
1103a3,03000673__,1.19,39.93388902,-74.95863103,3,324,Burlington,Mount Laurel Twp,17125,8645,8480,01/01/2012,Volume 48hrs,North/South
121098,00000029__,24.55,40.40803,-75.01369,10,1007,Hunterdon,Delaware Twp,2619,1299,1320,01/01/2012,Classification 48hrs,East/West
121007,00000202__,13.53,40.517081,-74.817611,10,1021,Hunterdon,Raritan Twp,34480,17887,16593,01/01/2012,Volume 48hrs,North/South
11c202r,00000001__Y100380,0.16,40.24920502,-74.72684501,11,1107,Mercer,Lawrence Twp,0,0,4094,01/01/2012,ramp,South
121003,00000022__,21.38,40.6441278,-74.8399806,10,1018,Hunterdon,Lebanon Boro,20272,10037,10235,01/01/2012,Volume 48hrs,East/West
112063,20000646__,0.52,40.67517,-74.37362,20,2010,Union,Mountainside Boro,2189,1275,914,01/01/2012,Volume 48hrs,East/West
121004,00000022__,27.11,40.6165528,-74.7413639,10,1022,Hunterdon,Readington Twp,31030,15946,15084,01/01/2012,Volume 48hrs,East/West
121101,00000001__,6.26,40.2785528,-74.7018028,11,1107,Mercer,Lawrence Twp,47987,25511,22476,01/01/2012,Volume 48hrs,North/South
121010,10000635__,6.22,40.706444,-74.950064,10,1012,Hunterdon,Glen Gardner Boro,715,573,142,01/01/2012,Volume 48hrs,North/South
121009,00000519__,16.74,40.57332,-75.08425,10,1020,Hunterdon,Milford Boro,1913,921,992,01/01/2012,Volume 48hrs,North/South
121011,00000202__,7.97,40.45505236,-74.8594978,10,1021,Hunterdon,Raritan Twp,33814,17548,16266,01/01/2012,Volume 48hrs,North/South
121097,00000179__,1.3,40.3768194,-74.932025,10,1026,Hunterdon,West Amwell Twp,6882,3341,3541,01/01/2012,Volume 48hrs,North/South
121128,11041057__,0.4,40.26629396,-74.51877252,11,1104,Mercer,Hightstown Boro,5161,2786,2375,01/01/2012,Volume 48hrs,East/West
4-4-329,00000027__,20.23,40.52774101,-74.38488701,12,1205,Middlesex,Edison Twp,33398,16989,16409,01/01/2012,Volume 48hrs,North/South
4-4-408,00000522__,11.32,40.3239667,-74.4029139,12,1213,Middlesex,Monroe Twp,6469,3190,3279,01/01/2012,Volume 48hrs,East/West
4-4-330,00000027__,21.22,40.5368833,-74.3709,12,1210,Middlesex,Metuchen Boro,12515,6565,5950,01/01/2012,Volume 48hrs,North/South
121099,00000523__,16.46,40.5767583,-74.8058944,10,1022,Hunterdon,Readington Twp,10232,4931,5301,01/01/2012,Classification 48hrs,North/South
121008,00000202__,15.32,40.5289583,-74.7882361,10,1022,Hunterdon,Readington Twp,34904,17196,17708,01/01/2012,Volume 48hrs,North/South
1-5-228,19000622__,5.31,41.06492321,-74.75578866,19,1915,Sussex,Newton Town,8983,4696,4287,01/01/2012,Volume 48hrs,East/West
1-5-205,00000046__,8.1,40.84044603,-75.03576081,21,2123,Warren,White Twp,8729,4306,4423,01/01/2012,Classification 48hrs,East/West
11c297r,00000009__,132.7,40.517353,-74.30012,12,1225,Middlesex,Woodbridge Twp,0,0,1217,01/01/2012,ramp,South
12mc4a,00000516__,17.67,40.41437,-74.072913,13,1331,Monmouth,Middletown Twp,8600,4072,4528,01/01/2012,major,East/West
121204,12000702__,0.36,40.51452196,-74.43515512,12,1205,Middlesex,Edison Twp,1814,846,968,01/01/2012,Volume 48hrs,North/South
121130,11072001__,1.1,40.260175,-74.7071833,11,1103,Mercer,Hamilton Twp,1087,450,637,01/01/2012,Volume 48hrs,North/South
121129,11071396__,0.33,40.2628139,-74.7344944,11,1107,Mercer,Lawrence Twp,4092,1956,2136,01/01/2012,Volume 48hrs,East/West
11s158r,00000070__X100110,1.11,39.92774314,-75.05418107,4,409,Camden,Cherry Hill Twp,0,0,2471,01/01/2012,ramp,West
121131,11141245__,0.29,40.37703,-74.63109,11,1110,Mercer,Princeton Twp,2196,1131,1065,01/01/2012,Volume 48hrs,East/West
11c182r,00000001__,10.8,40.326538,-74.64483,11,1113,Mercer,West Windsor Twp,0,0,3432,01/01/2012,ramp,South
121207,00000018__,38.58,40.459,-74.401985,12,1204,Middlesex,East Brunswick Twp,65349,32200,33149,01/01/2012,Volume 48hrs,North/South
091310,00000071__,11,40.25377995,-74.00023523,13,1310,Monmouth,Deal Boro,6725,3619,3106,01/01/2012,Volume 48hrs,North/South
121208,00000130__,80.28,40.4300361,-74.4915722,12,1215,Middlesex,North Brunswick Twp,40176,21534,18642,01/01/2012,Volume 48hrs,North/South
121316,13000006A2,1.09,40.4228611,-74.2451222,13,1329,Monmouth,Matawan Boro,4755,2352,2403,01/01/2012,Volume 48hrs,East/West
11n110r,00000080__X105720,57.2,40.90517,-74.19139,16,1616,Passaic,West Paterson Boro,0,0,12471,01/01/2012,ramp,West
11c300r,00000009__Y213280,132.8,40.52006,-74.30405,12,1225,Middlesex,Woodbridge Twp,0,0,17745,01/01/2012,ramp,South
121356,130000302_,3.72,40.17024923,-74.02970432,13,1347,Monmouth,Lake Como Borough,5483,2679,2804,01/01/2012,Volume 48hrs,East/West
121318,130000071_,2.03,40.4398944,-74.1302,13,1321,Monmouth,Keansburg Boro,12756,6512,6244,01/01/2012,Volume 48hrs,North/South
121309,130000042_,4.92,40.3805306,-74.1937417,13,1318,Monmouth,Holmdel Twp,6343,3216,3127,01/01/2012,Volume 48hrs,North/South
1-5-609,10131028__,0.45,40.70768121,-74.95898395,10,1013,Hunterdon,Hampton Boro,2387,1237,1150,01/01/2012,Classification 48hrs,East/West
121310,130000042_,8.29,40.4256389,-74.1954083,13,1322,Monmouth,Keyport Boro,4970,2337,2633,01/01/2012,Volume 48hrs,North/South
11c201r,00000001__Y100360,3.6,40.2483,-74.72905,11,1107,Mercer,Lawrence Twp,0,0,673,01/01/2012,ramp,South
121350,13000020__,1.99,40.12448602,-74.05109601,13,1327,Monmouth,Manasquan Boro,5282,2634,2648,01/01/2012,Volume 48hrs,North/South
121347,130000183_,1.98,40.1657056,-74.0178472,13,1348,Monmouth,Spring Lake Boro,4530,2220,2310,01/01/2012,Volume 48hrs,North/South
091305,00000033B_,1.3,40.2572917,-74.3109639,13,1316,Monmouth,Freehold Twp,14528,7078,7450,01/01/2012,Volume 48hrs,East/West
091303,00000035__,27.11,40.2593389,-74.0407306,13,1337,Monmouth,Ocean Twp,35884,17152,18732,01/01/2012,Volume 48hrs,North/South
121357,13000032__,2.68,40.2900028,-74.0060694,13,1353,Monmouth,West Long Branch Boro,9443,4574,4869,01/01/2012,Volume 48hrs,East/West
121345,130000181_,4.04,40.1921389,-74.0943944,13,1352,Monmouth,Wall Twp,6307,3130,3177,01/01/2012,Volume 48hrs,East/West
091318,00000524S_,2.93,40.129339,-74.056915,13,1328,Monmouth,Marlboro Twp,9673,4848,4825,01/01/2012,Volume 48hrs,East/West
091317,00000522__,17.6,40.271075,-74.3103222,13,1316,Monmouth,Freehold Twp,11097,5596,5501,01/01/2012,Volume 48hrs,East/West
121383,00000034__,5.08,40.18285702,-74.1130841,13,1352,Monmouth,Wall Twp,30486,14599,15887,01/01/2012,Volume 48hrs,North/South
091318,00000524S_,2.93,40.129339,-74.056915,13,1328,Monmouth,Marlboro Twp,8920,4517,4403,01/01/2012,Volume 48hrs,East/West
121380,13000057__,1.03,40.2963083,-73.98155,13,1325,Monmouth,Long Branch City,12437,6089,6348,01/01/2012,Volume 48hrs,North/South
121363,13000040__,0.48,40.233063,-74.02934,13,1337,Monmouth,Ocean Twp,10298,4649,5649,01/01/2012,Volume 48hrs,East/West
121382,00000034__,2.21,40.1442306,-74.0935444,13,1352,Monmouth,Wall Twp,40460,19909,20551,01/01/2012,Volume 48hrs,North/South
112016,20000610__,8.01,40.66124734,-74.25519996,20,2014,Union,Roselle Boro,12530,6621,5909,01/01/2012,Volume 48hrs,East/West
121387,00000537__,57.05,40.2838222,-74.1884611,13,1309,Monmouth,Colts Neck Twp,17332,7475,9857,01/01/2012,Volume 48hrs,East/West
090307,00000068__,0.34,40.02156405,-74.63814101,3,340,Burlington,Wrightstown Boro,7597,3834,3763,01/01/2012,Volume 48hrs,North/South
11s159r,00000070__Y100110,1.06,39.92803187,-75.05498451,4,409,Camden,Cherry Hill Twp,0,0,1586,01/01/2012,ramp,West
111691,16000681__,1.51,40.93364,-74.22776,16,1614,Passaic,Wayne Twp,23678,11475,12203,01/01/2012,Volume 48hrs,North/South
111690,16000680__,0.4,40.96954,-74.27483,16,1614,Passaic,Wayne Twp,12528,6074,6454,01/01/2012,Volume 48hrs,East/West
121408,00000510__,11.47,40.79849,-74.48448,14,1424,Morris,Morristown Town,13360,7258,6102,01/01/2012,major,East/West
111687,16000677__,2.2,40.96578,-74.18813,16,1606,Passaic,North Haledon Boro,6236,3561,2675,01/01/2012,Volume 48hrs,North/South
091314,00000524__,24.52,40.2212306,-74.2799639,13,1316,Monmouth,Freehold Twp,9101,4681,4420,01/01/2012,Volume 48hrs,East/West
111693,16000682__,0.25,40.98307,-74.28546,16,1609,Passaic,Pompton Lakes Boro,370,190,180,01/01/2012,Volume 48hrs,East/West
111699,16000691__,0.5,40.99569,-74.28611,16,1609,Passaic,Pompton Lakes Boro,4228,2330,1898,01/01/2012,Volume 48hrs,North/South
091315,00000524__,26.45,40.2153028,-74.2451444,13,1319,Monmouth,Howell Twp,8317,4070,4247,01/01/2012,Volume 48hrs,East/West
091313,00000524__,22.31,40.2182778,-74.3215306,13,1316,Monmouth,Freehold Twp,3610,1914,1696,01/01/2012,Volume 48hrs,East/West
091306,00000071__,8.93,40.22837503,-74.00885601,13,1303,Monmouth,Asbury Park City,20219,11350,8869,01/01/2012,Volume 48hrs,North/South
11n158r,00000080__Y106090,60.9,40.90225,-74.12541,2,211,Bergen,Elmwood Park Boro,0,0,1748,01/01/2012,ramp,West
12n867r,00000046__Y107070,,40.84799302,-74.02020202,2,250,Bergen,Ridgefield Park Village,0,0,2050,01/01/2012,ramp,West
11n155r,00000080__Y105890,58.9,40.9055,-74.15858,16,1608,Passaic,Paterson City,0,0,10551,01/01/2012,ramp,West
11n153r,00000080__Y105710,57.1,40.90477,-74.19252,16,1616,Passaic,West Paterson Boro,0,0,1483,01/01/2012,ramp,West
12n863r,00000046__X207120,,40.84965378,-74.01502767,2,250,Bergen,Ridgefield Park Village,0,0,809,01/01/2012,ramp,West
